"","Local","Amostra","Psalidodon rivularis","Brycon nattereri","Rhamdia aff. quelen","Hoplias intermedius","Trichomycterus sp. ","Harttia sp. 2","Geophagus aff. brasiliensis","Gymnotus aff. sylvius","Phalloceros sp.","Parodon hilarii","Australoheros oblongus","Hasemania nana","Characidium sp. 2","Harttia sp. 1","Psalidodon fasciatus","Trichomycterus aff. alternatus","Astyanax lacustris","Characidium sp. 1","Australoheros sp.","Salminus franciscanus","Piabarchus stramineus","Eigenmannia sp.","Moenkhausia costae","Parotocinclus robustus","Stevardiidae sp.","Characidium lagosantense","Gymnotus aff. carapo","Psalidodon sp. 1","Psalidodon sp. 2","Coptodon rendalli","Leporellus aff. vittatus","Hasemania sp.","Phalloceros uai","Brycon sp.","Prochilodus argenteus","Lepidocharax burnsi","Imparfinis minutus","Hypostomus francisci","Hypostomus sp.","Cetopsorhamdia iheringi","Pimelodella vittata","Pimelodus sp.","Megaleporinus obtusidens","Sternopygus macrurus","Hypomasticus sp.","Piabina argentea","Steindachnerina elegans","Hisonotus sp.","Myleus micans","Phenacogaster franciscoensis"
"1","SC1","SC1A",30452,6546,1688,1231,994,0,13,12,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","SC7","SC7A",3110,2458,112,1193,52,36,335,0,2254,1617,274,1342,438,284,4905,0,1794,288,1200,589,2561,527,0,11,0,0,0,0,0,0,0,0,0,0,1095,714,282,89,64,35,20,14,0,0,0,0,418,0,0,0
"3","SC1","SC1B",10519,2482,526,20,50,0,40,22,0,1835,8,6,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","SC6","SC6C",10850,6,212,2284,56,0,15347,2343,169,0,1726,0,0,0,7083,0,2634,0,0,0,0,0,0,0,0,0,71,0,2855,261,0,0,3737,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","SC3","SC3B",12424,9595,1420,13330,95,0,0,0,8151,1825,1492,9169,159,849,9182,0,1332,0,0,0,865,0,0,0,326,114,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","SC7","SC7B",4016,4918,149,2181,25,287,633,138,2403,1057,740,4777,971,242,5266,0,1565,9,1770,7,1167,772,0,0,0,0,0,0,0,0,241,635,0,0,722,315,0,19,0,39,0,0,409,248,216,42,449,13,0,0
"7","SC1","SC1C",9358,2813,841,684,213,0,29,9,0,4728,7,0,0,11,0,0,0,496,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SC6","SC6B",17570,12,108,2748,241,0,18060,5959,0,4,5204,0,0,0,8382,0,1949,0,0,0,0,0,0,0,0,0,0,0,2951,0,0,0,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","SC3","SC3C",8763,3022,693,7247,143,0,0,0,1195,501,1602,5513,0,524,2743,36,1730,297,0,0,504,0,0,0,0,0,84,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","SC2","SC2A",10257,5772,689,15686,187,0,7,0,0,2595,0,7,0,999,602,44,16,4564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
